id,Card_id,Collector_code,Card_name,Expansion_code,Rarity,User_id,User_name,User_country,Quantity,Price
296675023,256666,P-041a,Monkey.D.Luffy,promo,Alternate Art,280800,DarkJoker92,IT,1,10.69
292779909,256666,P-041a,Monkey.D.Luffy,promo,Alternate Art,72945,Arima,IT,4,10.71
294631791,256666,P-041a,Monkey.D.Luffy,promo,Alternate Art,239345,CARD - EMPORIUM,IT,1,12.03
290491020,256666,P-041a,Monkey.D.Luffy,promo,Alternate Art,166643,Lone Star PokeVault,US,3,12.22
298457100,256666,P-041a,Monkey.D.Luffy,promo,Alternate Art,219157,CardsVentures,IT,6,15.55
298903603,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,52908,Cards4kidz,IT,5,19.03
298991359,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,58170,LN-Games,IT,1,19.04
282514633,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,52835,Pool4you,ES,10,21.27
281546596,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,118011,GregCT,IT,1,21.39
280147197,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,242109,Diadem Hobbies,CA,3,23.22
279846472,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,52835,Pool4you,ES,12,23.62
292781391,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,295514,UrzasConsulting,IT,1,23.7
297590453,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,30639,Jokerslair,IT,1,23.71
231899243,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,74378,Mickey Singh Cards,CA,1,33.23
206476410,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,78665,Red Riot Games,CA,2,34.68
256237282,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,91373,LastDraw,DE,1,35.57
281759054,249403,OP01-001a,Roronoa Zoro,bandai,Alternate Art,100375,Tier 1 Games,US,5,48.16
300081311,249404,ST01-002a,Usopp,bandai,Alternate Art,52908,Cards4kidz,IT,6,0.5
297860252,249404,ST01-002a,Usopp,bandai,Alternate Art,144987,Artrite,IT,1,0.51
235109449,249404,ST01-002a,Usopp,bandai,Alternate Art,128851,Christofiar,IT,3,0.51
298058010,249404,ST01-002a,Usopp,bandai,Alternate Art,197140,Goatstore it,IT,1,0.55
266637430,249404,ST01-002a,Usopp,bandai,Alternate Art,157356,Quintamarcha,ES,3,0.58
299318127,249404,ST01-002a,Usopp,bandai,Alternate Art,81,Laconteacag,IT,1,0.61
296658644,249404,ST01-002a,Usopp,bandai,Alternate Art,14263,CerberusTCG,IT,2,0.69
299589895,249404,ST01-002a,Usopp,bandai,Alternate Art,139336,Edicola87,IT,2,0.7
298383494,249404,ST01-002a,Usopp,bandai,Alternate Art,48675,Iltempiodikronos,IT,3,0.7
244913599,249404,ST01-002a,Usopp,bandai,Alternate Art,48675,Iltempiodikronos,IT,4,0.7
299926536,249404,ST01-002a,Usopp,bandai,Alternate Art,280639,CptJonh,PT,2,0.7
251165431,249404,ST01-002a,Usopp,bandai,Alternate Art,222013,HHandsomeRRustyy,IT,2,0.7
244841935,249404,ST01-002a,Usopp,bandai,Alternate Art,98822,Mooncake,IT,3,0.8
248396441,249404,ST01-002a,Usopp,bandai,Alternate Art,11531,Il Covo del Nerd,IT,1,1.27
293676601,249404,ST01-002a,Usopp,bandai,Alternate Art,30639,Jokerslair,IT,6,1.28
288961483,249404,ST01-002a,Usopp,bandai,Alternate Art,52835,Pool4you,ES,1,1.28
265549619,249404,ST01-002a,Usopp,bandai,Alternate Art,56,Oblivionmtg,IT,4,1.29
261271963,249404,ST01-002a,Usopp,bandai,Alternate Art,107603,AthensCollectibles,GR,2,1.29
289135412,249404,ST01-002a,Usopp,bandai,Alternate Art,66624,BlackLotusCardstore,IT,2,1.29
274685949,249404,ST01-002a,Usopp,bandai,Alternate Art,78578,FREAK CORP,ES,4,1.29
278889374,249404,ST01-002a,Usopp,bandai,Alternate Art,52835,Pool4you,ES,3,1.74
299289244,249404,ST01-002a,Usopp,bandai,Alternate Art,302003,Epik Cards Games,US,1,1.75
296618557,249404,ST01-002a,Usopp,bandai,Alternate Art,117801,TOWERSELLER,IT,1,1.88
252836969,249404,ST01-002a,Usopp,bandai,Alternate Art,213574,RKards,IT,1,2.34
244882645,249404,ST01-002a,Usopp,bandai,Alternate Art,117801,TOWERSELLER,IT,2,2.46
206017304,249404,ST01-002a,Usopp,bandai,Alternate Art,78665,Red Riot Games,CA,4,2.64
259044368,249404,ST01-002a,Usopp,bandai,Alternate Art,91373,LastDraw,DE,4,2.92
186592338,249404,ST01-002a,Usopp,bandai,Alternate Art,46772,Baruzcard,IT,1,3.16
292015565,249404,ST01-002a,Usopp,bandai,Alternate Art,148161,PhyrexianPlaguelordMTG,IT,1,3.57
227631857,249404,ST01-002a,Usopp,bandai,Alternate Art,49946,M H C T,AT,4,3.63
